Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/28/2022 10:54:30,19,Spotify,6,1.0,1.0,0.0,Metal,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,9,8,2,3,2.0,I understand.
8/28/2022 10:59:53,17,Spotify,4,0.0,0.0,0.0,Rock,1.0,1.0,142,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,5,6,6,1,2.0,I understand.
8/28/2022 11:08:51,16,Spotify,1,1.0,0.0,0.0,Classical,0.0,0.0,75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1.0,I understand.
8/28/2022 11:13:25,18,Spotify,5,1.0,1.0,0.0,Pop,1.0,0.0,120,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,3,2,1,1,2.0,I understand.
8/28/2022 11:25:49,21,Spotify,4,1.0,0.0,0.0,Pop,0.0,1.0,89,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6,8,0,2,2.0,I understand.
8/28/2022 11:27:15,17,Other streaming service,3,1.0,0.0,0.0,Pop,1.0,0.0,,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,2,0,4,0,1.0,I understand.
8/28/2022 11:36:35,26,Other streaming service,0.5,0.0,0.0,0.0,Rock,0.0,1.0,140,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9,8,1,0,1.0,I understand.
8/28/2022 11:39:21,20,Spotify,4,1.0,0.0,0.0,EDM,1.0,0.0,161,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,7,2,8,6,2.0,I understand.
8/28/2022 11:50:31,23,YouTube Music,2,1.0,1.0,1.0,Video game music,1.0,0.0,80,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4,2,3,4,2.0,I understand.
8/28/2022 11:54:45,18,Spotify,5,1.0,1.0,0.0,Rock,1.0,0.0,130,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,7,6,5,0,2.0,I understand.
8/28/2022 11:55:54,37,YouTube Music,0.25,0.0,0.0,0.0,Video game music,1.0,0.0,147,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,3,2,10,0,1.0,I understand.
